Reading /research/projects/zp128/RedPajama_Analysis/SetJoin/sorted_sets/arxiv_idmap.bin
Reading /research/projects/zp128/RedPajama_Analysis/SetJoin/sorted_sets/arxiv_sortedsets.bin
Start Set Join
Reading /research/projects/zp128/RedPajama_Analysis/SetJoin/sorted_sets/book_idmap.bin
Reading /research/projects/zp128/RedPajama_Analysis/SetJoin/sorted_sets/book_sortedsets.bin
Start Set Join
joiner.result_pairs have 398 pairs
The amount of document that occur in the pairs is 417
27 21
78571 165653
39 27
179603 78571
50 39
53917 179603
64 50
124777 53917
68 64
160802 124777
68 50
160802 53917
75 64
66373 124777
75 68
66373 160802
76 75
163451 66373
76 68
163451 160802
77 76
150108 163451
94 89
127520 158596
96 89
101903 158596
96 95
101903 44554
160 155
130735 55008
192 185
93884 201720
298 288
100697 115028
304 288
146730 115028
304 298
146730 100697
525 522
26335 26352
526 525
26336 26335
526 522
26336 26352
527 522
26338 26352
527 525
26338 26335
527 526
26338 26336
528 522
26351 26352
528 527
26351 26338
528 525
26351 26335
528 526
26351 26336
529 528
26353 26351
529 522
26353 26352
529 527
26353 26338
529 525
26353 26335
529 526
26353 26336
531 522
26329 26352
531 526
26329 26336
531 525
26329 26335
531 527
26329 26338
532 531
26330 26329
532 525
26330 26335
532 526
26330 26336
532 522
26330 26352
532 527
26330 26338
533 531
26331 26329
533 525
26331 26335
533 526
26331 26336
533 532
26331 26330
533 522
26331 26352
533 527
26331 26338
534 532
26332 26330
534 531
26332 26329
534 533
26332 26331
534 522
26332 26352
534 526
26332 26336
534 525
26332 26335
534 527
26332 26338
535 532
26333 26330
535 531
26333 26329
535 534
26333 26332
535 533
26333 26331
535 522
26333 26352
535 526
26333 26336
535 525
26333 26335
535 527
26333 26338
536 532
26334 26330
536 535
26334 26333
536 531
26334 26329
536 534
26334 26332
536 522
26334 26352
536 526
26334 26336
536 533
26334 26331
536 525
26334 26335
536 527
26334 26338
541 528
26346 26351
541 529
26346 26353
541 522
26346 26352
541 527
26346 26338
541 525
26346 26335
541 526
26346 26336
542 528
26349 26351
542 541
26349 26346
542 529
26349 26353
542 522
26349 26352
542 527
26349 26338
542 525
26349 26335
542 526
26349 26336
543 528
26350 26351
543 541
26350 26346
543 542
26350 26349
543 529
26350 26353
543 522
26350 26352
543 525
26350 26335
543 526
26350 26336
543 527
26350 26338
545 541
26347 26346
545 528
26347 26351
545 543
26347 26350
545 542
26347 26349
545 529
26347 26353
545 522
26347 26352
545 525
26347 26335
545 526
26347 26336
545 527
26347 26338
546 541
26340 26346
546 545
26340 26347
546 528
26340 26351
546 543
26340 26350
546 542
26340 26349
546 529
26340 26353
546 522
26340 26352
546 525
26340 26335
546 526
26340 26336
546 527
26340 26338
547 541
26339 26346
547 545
26339 26347
547 546
26339 26340
547 528
26339 26351
547 543
26339 26350
547 542
26339 26349
547 529
26339 26353
547 522
26339 26352
547 527
26339 26338
547 525
26339 26335
547 526
26339 26336
548 541
26343 26346
548 545
26343 26347
548 546
26343 26340
548 547
26343 26339
548 528
26343 26351
548 543
26343 26350
548 542
26343 26349
548 529
26343 26353
548 522
26343 26352
548 525
26343 26335
548 526
26343 26336
548 527
26343 26338
549 541
26341 26346
549 545
26341 26347
549 546
26341 26340
549 547
26341 26339
549 548
26341 26343
549 528
26341 26351
549 543
26341 26350
549 542
26341 26349
549 529
26341 26353
549 522
26341 26352
549 525
26341 26335
549 526
26341 26336
549 527
26341 26338
550 541
26344 26346
550 545
26344 26347
550 546
26344 26340
550 547
26344 26339
550 549
26344 26341
550 528
26344 26351
550 543
26344 26350
550 548
26344 26343
550 542
26344 26349
550 529
26344 26353
550 522
26344 26352
550 525
26344 26335
550 526
26344 26336
550 527
26344 26338
551 541
26342 26346
551 545
26342 26347
551 546
26342 26340
551 547
26342 26339
551 549
26342 26341
551 528
26342 26351
551 543
26342 26350
551 548
26342 26343
551 550
26342 26344
551 542
26342 26349
551 529
